# These two share no advisory id, so they were NOT joined and were flagged instead.
# label: same (they were one advisory — the caution cost a duplicate) | different (leaving them apart was right) | unsure
# Every hold is here. This is the census, and it is the most argued line in the design.
repo	package	advisories	title_a	title_b	range	label	notes
nodegoat	bson	CVE-2019-2391  vs  CVE-2020-7610	Deserialization of Untrusted Data in bson	Deserialization of Untrusted Data in bson	same		
nodegoat	handlebars	CVE-2021-23383  vs  CVE-2021-23369	Prototype Pollution in handlebars	Remote code execution in handlebars when compiling templates	same		
nodegoat	handlebars	CVE-2026-33940  vs  CVE-2026-33938	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block	same		
nodegoat	handlebars	CVE-2026-33940  vs  GHSA-442J-39WM-28R2	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial	Handlebars.js has a Property Access Validation Bypass in container.lookup	same		
nodegoat	handlebars	CVE-2026-33940  vs  CVE-2026-33939	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial	Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation	same		
nodegoat	handlebars	CVE-2026-33940  vs  CVE-2026-33941	Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial	Handlebars.js has JavaScript Injection in CLI Precompiler via Unescaped Names and Options	same		
nodegoat	handlebars	GHSA-Q2C6-C6PM-G3GH  vs  CVE-2019-20920	Arbitrary Code Execution in handlebars	Arbitrary Code Execution in Handlebars	same		
nodegoat	marked	CVE-2022-21680  vs  CVE-2022-21681	Inefficient Regular Expression Complexity in marked	Inefficient Regular Expression Complexity in marked	same		
nodegoat	handlebars	CVE-2026-33938  vs  GHSA-442J-39WM-28R2	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block	Handlebars.js has a Property Access Validation Bypass in container.lookup	same		
nodegoat	handlebars	CVE-2026-33938  vs  CVE-2026-33939	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block	Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation	same		
nodegoat	handlebars	CVE-2026-33938  vs  CVE-2026-33941	Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block	Handlebars.js has JavaScript Injection in CLI Precompiler via Unescaped Names and Options	same		
nodegoat	npm	CVE-2019-16775  vs  CVE-2019-16776	Arbitrary File Write in npm	npm symlink reference outside of node_modules	same		
nodegoat	handlebars	GHSA-442J-39WM-28R2  vs  CVE-2026-33939	Handlebars.js has a Property Access Validation Bypass in container.lookup	Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation	same		
nodegoat	handlebars	GHSA-442J-39WM-28R2  vs  CVE-2026-33941	Handlebars.js has a Property Access Validation Bypass in container.lookup	Handlebars.js has JavaScript Injection in CLI Precompiler via Unescaped Names and Options	same		
nodegoat	qs	CVE-2014-7191  vs  CVE-2014-10064	Denial-of-Service Memory Exhaustion in qs	Denial-of-Service Extended Event Loop Blocking in qs	same		
nodegoat	handlebars	CVE-2019-20922  vs  GHSA-F52G-6JHX-586P	Regular Expression Denial of Service in Handlebars	Denial of Service in handlebars	same		
nodegoat	handlebars	CVE-2026-33939  vs  CVE-2026-33941	Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation	Handlebars.js has JavaScript Injection in CLI Precompiler via Unescaped Names and Options	same		
nodegoat	shelljs	CVE-2022-0144  vs  GHSA-64G7-MVW6-V9QJ	Improper Privilege Management in shelljs	Improper Privilege Management in shelljs	same		
nodegoat	websocket-driver	CVE-2026-54466  vs  CVE-2026-54490	websocket-driver: Message corruption via abuse of protocol length headers	websocket-driver: Resource limit bypass via message compression	same		
